id_freelancer;id_trabajo;id_cliente;id_plataforma;Last_Name;Name;Fecha_inicio;Fecha_finalizacion;Job_Category;Platform;Experience_Level;Client_Region;Payment_Method;Job_Completed;Earnings_USD;Hourly_Rate;Job_Success_Rate;Client_Rating;Job_Duration_Days;Project_Type;Rehire_Rate;Marketing_Spend
64;64;64;64;Martinez;Jason;20/09/2023;15/07/2024;Graphic Design;Freelancer;Intermediate;Europe;PayPal;110;5197;6973;6784;328;82;Hourly;5083;326
65;65;65;65;Taylor;Craig;01/09/2023;11/02/2025;Customer Support;Upwork;Intermediate;UK;Bank Transfer;171;3697;3494;6405;406;82;Fixed;1079;409
66;66;66;66;Allen;Ruth;17/07/2023;01/04/2024;Content Writing;Fiverr;Expert;Europe;Bank Transfer;158;5493;7472;7713;382;87;Hourly;6512;399
67;67;67;67;Clark;Brenda;17/03/2023;23/02/2025;App Development;Fiverr;Beginner;Middle East;Mobile Banking;11;129;3638;5705;369;40;Hourly;3145;39
68;68;68;68;Adams;Doris;05/04/2023;18/12/2024;Web Development;PeoplePerHour;Beginner;Europe;Bank Transfer;201;5627;1694;9011;48;50;Fixed;1282;249
69;69;69;69;Lopez;Gary;29/03/2023;29/06/2024;Graphic Design;Toptal;Intermediate;Canada;PayPal;50;2273;5016;5373;304;73;Hourly;5118;217
70;70;70;70;Walker;Jacqueline;28/06/2023;22/02/2024;Customer Support;Upwork;Intermediate;Australia;Crypto;22;2619;7635;9934;433;29;Fixed;3784;178
71;71;71;71;White;Louis;07/10/2023;03/02/2025;Web Development;Upwork;Expert;Asia;Crypto;157;4568;4088;8861;493;51;Fixed;7817;38
72;72;72;72;Young;Tammy;30/03/2023;14/07/2024;Web Development;Upwork;Beginner;Australia;Bank Transfer;268;1173;8757;5994;412;42;Fixed;4809;182
73;73;73;73;Hernandez;Henry;07/10/2023;15/02/2025;SEO;Fiverr;Intermediate;USA;Bank Transfer;78;2673;4176;5028;487;29;Hourly;2927;223
74;74;74;74;Hall;Susan;15/06/2023;16/06/2024;Graphic Design;PeoplePerHour;Expert;Canada;PayPal;149;1453;3823;9077;31;66;Hourly;5966;163
75;75;75;75;Roberts;Donald;06/07/2023;23/04/2024;Web Development;Freelancer;Beginner;Australia;Crypto;106;2628;9983;8534;384;17;Hourly;290;233
76;76;76;76;Miller;Christine;05/10/2023;23/06/2024;SEO;Fiverr;Beginner;Middle East;Mobile Banking;125;381;5083;8645;352;31;Hourly;733;376
77;77;77;77;Nelson;Arthur;16/01/2023;15/01/2024;SEO;Freelancer;Intermediate;Europe;Mobile Banking;180;7535;815;8856;446;52;Fixed;3623;192
78;78;78;78;Evans;Teresa;12/05/2023;27/08/2024;Graphic Design;PeoplePerHour;Expert;Europe;Bank Transfer;67;789;8147;537;496;39;Fixed;4849;496
79;79;79;79;Allen;Douglas;28/03/2023;13/08/2024;SEO;Toptal;Intermediate;UK;Mobile Banking;88;8283;9301;6792;351;60;Hourly;1354;84
80;80;80;80;Garcia;Albert;08/02/2023;06/11/2024;Graphic Design;Upwork;Expert;UK;PayPal;19;5030;1307;5579;431;51;Hourly;3983;460
81;81;81;81;Collins;Jack;08/01/2023;21/06/2024;Customer Support;Freelancer;Beginner;Europe;Mobile Banking;138;3928;3077;9316;34;84;Fixed;6827;242
82;82;82;82;Russell;Martha;09/01/2023;18/02/2025;Graphic Design;Fiverr;Expert;Middle East;Bank Transfer;125;1999;7794;8116;413;16;Hourly;664;473
83;83;83;83;Ramirez;George;07/01/2023;07/05/2024;Data Entry;Freelancer;Expert;Europe;PayPal;132;3510;5845;6654;393;14;Fixed;257;172
84;84;84;84;Parker;Judy;25/06/2023;05/09/2024;Web Development;Toptal;Expert;UK;Crypto;292;2178;5816;5318;494;84;Hourly;2583;392
85;85;85;85;Brooks;Dennis;17/01/2023;20/09/2024;Customer Support;Upwork;Expert;Australia;PayPal;184;4547;2079;6555;422;42;Hourly;6721;36
86;86;86;86;Watson;Barbara;20/12/2023;02/12/2024;Digital Marketing;Freelancer;Expert;USA;Bank Transfer;86;2204;3171;6626;37;51;Hourly;7513;86
87;87;87;87;Burns;Daniel;24/06/2023;13/01/2024;Graphic Design;Toptal;Intermediate;UK;Bank Transfer;17;5280;5453;8648;323;24;Fixed;1668;128
88;88;88;88;Baker;Nancy;28/02/2023;07/11/2024;Web Development;Fiverr;Expert;Middle East;Mobile Banking;28;7494;3133;8188;33;82;Fixed;415;193
89;89;89;89;Watson;Brandon;20/01/2023;21/03/2024;App Development;PeoplePerHour;Expert;Australia;Mobile Banking;172;1287;2498;9436;345;43;Hourly;3362;318
90;90;90;90;Harris;Patricia;11/10/2023;27/10/2024;SEO;Fiverr;Beginner;Australia;Crypto;274;8747;1334;7361;35;73;Hourly;7095;42
91;91;91;91;Martinez;Victor;11/03/2023;20/12/2024;Content Writing;Upwork;Expert;Australia;Crypto;74;5290;1979;5598;47;19;Hourly;1585;411
92;92;92;92;Evans;Rachel;28/08/2023;29/06/2024;Graphic Design;Fiverr;Beginner;Canada;Bank Transfer;93;4865;7804;8566;412;84;Hourly;2478;355
93;93;93;93;Collins;Henry;29/12/2023;13/01/2025;SEO;Fiverr;Intermediate;Canada;Bank Transfer;193;9636;7328;8804;405;61;Hourly;6267;158
94;94;94;94;Gonzalez;Betty;03/08/2023;06/03/2024;SEO;Fiverr;Intermediate;Asia;Bank Transfer;261;306;935;7806;323;63;Hourly;1359;104
95;95;95;95;Wright;Steven;18/07/2023;01/08/2024;SEO;Fiverr;Expert;Australia;Crypto;221;1770;2431;8855;472;26;Hourly;4448;452
96;96;96;96;Perry;Maria;17/01/2023;30/07/2024;SEO;Upwork;Intermediate;Middle East;Bank Transfer;36;7397;5824;7469;445;35;Hourly;4095;228
97;97;97;97;Cole;Charles;06/11/2023;09/06/2024;SEO;Toptal;Expert;Europe;Crypto;145;7126;3565;7614;314;67;Fixed;3341;216
98;98;98;98;Mitchell;Lori;09/12/2023;22/06/2024;Graphic Design;Freelancer;Intermediate;Middle East;Bank Transfer;165;1121;8321;7138;442;56;Fixed;3762;263
99;99;99;99;Ward;Paul;28/09/2023;26/10/2024;App Development;PeoplePerHour;Expert;Canada;PayPal;36;1672;7957;5127;409;40;Fixed;471;417
100;100;100;100;Gonzalez;Katie;17/12/2023;05/10/2024;Digital Marketing;Freelancer;Expert;UK;PayPal;156;2116;897;5539;316;29;Fixed;213;486
101;101;101;101;Perez;Adam;07/07/2023;16/02/2025;Data Entry;Freelancer;Beginner;Asia;Bank Transfer;264;9311;5848;5157;392;6;Hourly;5004;48
102;102;102;102;Simmons;Shannon;27/10/2023;13/04/2024;SEO;PeoplePerHour;Beginner;Canada;PayPal;220;8692;3845;8182;397;52;Fixed;6638;351
103;103;103;103;Brown;Daniel;19/11/2023;09/01/2025;SEO;Upwork;Beginner;Europe;Crypto;283;947;6258;6572;333;1;Fixed;6321;441
104;104;104;104;Robinson;Lillian;17/01/2023;02/01/2024;Data Entry;PeoplePerHour;Beginner;USA;Mobile Banking;289;5225;1347;7543;489;52;Hourly;2077;122
105;105;105;105;King;Robert;10/01/2023;27/12/2024;App Development;Upwork;Expert;Asia;PayPal;102;8323;591;9538;47;24;Fixed;2045;458
106;106;106;106;Johnson;Linda;05/03/2023;10/01/2025;Customer Support;Freelancer;Intermediate;Canada;Mobile Banking;34;8978;662;6246;434;34;Fixed;2877;302
1;107;107;107;Smith;James;06/08/2023;22/01/2024;Web Development;Upwork;Beginner;Middle East;PayPal;94;4224;4372;7052;392;7;Fixed;3528;24
2;108;108;108;Johnson;Mary;07/03/2023;26/06/2024;App Development;Toptal;Beginner;Asia;Crypto;152;5831;2667;8778;382;75;Fixed;3859;130
3;109;109;109;Williams;John;21/02/2023;28/09/2024;Web Development;PeoplePerHour;Beginner;Middle East;PayPal;148;3994;1995;6144;43;11;Fixed;5758;428
4;110;110;110;Jones;Patricia;06/06/2023;15/08/2024;Data Entry;Toptal;Intermediate;Australia;PayPal;71;6476;6346;5385;409;36;Hourly;1397;369
5;111;111;111;Brown;Robert;27/01/2023;03/07/2024;Digital Marketing;Freelancer;Expert;Australia;Bank Transfer;62;5485;9953;6449;312;20;Hourly;1243;435
6;112;112;112;Miller;Jennifer;09/07/2023;20/05/2024;Customer Support;PeoplePerHour;Beginner;Australia;Mobile Banking;285;9933;2189;5806;403;63;Hourly;3743;223
7;113;113;113;Davis;Michael;22/07/2023;28/10/2024;Web Development;Freelancer;Beginner;Asia;Mobile Banking;283;9421;5691;9648;461;80;Fixed;588;499
8;114;114;114;Wilson;Linda;06/08/2023;02/06/2024;Data Entry;Toptal;Beginner;USA;Crypto;240;2985;1637;9041;392;63;Fixed;2354;98
9;115;115;115;Moore;William;13/03/2023;16/01/2024;Content Writing;Freelancer;Intermediate;Europe;Crypto;132;5883;9375;8167;31;69;Fixed;5491;351
10;116;116;116;Taylor;Elizabeth;22/11/2023;23/01/2024;Data Entry;PeoplePerHour;Beginner;Asia;Mobile Banking;213;8138;3272;9357;457;88;Hourly;2819;289
11;117;117;117;Anderson;David;02/10/2023;09/12/2024;App Development;PeoplePerHour;Beginner;UK;Bank Transfer;190;511;8844;9018;34;30;Fixed;7203;484
12;118;118;118;Thomas;Susan;22/09/2023;05/11/2024;Customer Support;Freelancer;Intermediate;Middle East;Bank Transfer;173;166;3189;5933;352;30;Fixed;727;499
13;119;119;119;Jackson;Richard;04/12/2023;29/10/2024;Customer Support;PeoplePerHour;Intermediate;Middle East;Mobile Banking;176;5835;8157;9463;333;84;Fixed;3081;196
14;120;120;120;White;Jessica;27/12/2023;09/01/2025;Data Entry;PeoplePerHour;Beginner;Asia;PayPal;264;6557;2489;7697;366;22;Fixed;261;108
15;121;121;121;Harris;Charles;13/10/2023;11/07/2024;App Development;Freelancer;Beginner;Asia;Mobile Banking;209;9896;3281;9037;451;61;Hourly;3879;347
16;122;122;122;Martin;Sarah;10/08/2023;27/12/2024;Data Entry;Toptal;Intermediate;Europe;PayPal;139;5880;2329;948;404;21;Hourly;2684;219
17;123;123;123;Thompson;Joseph;13/10/2023;10/09/2024;Customer Support;PeoplePerHour;Expert;USA;Mobile Banking;50;4611;301;659;341;37;Fixed;5707;263
18;124;124;124;Garcia;Karen;02/08/2023;09/01/2025;Customer Support;PeoplePerHour;Intermediate;Asia;PayPal;13;8177;8431;555;476;27;Hourly;6782;410
19;125;125;125;Martinez;Thomas;01/01/2024;11/07/2024;Graphic Design;PeoplePerHour;Expert;Australia;Bank Transfer;165;709;6571;614;476;35;Hourly;5712;207
20;126;126;126;Roberts;Nancy;06/06/2023;10/02/2025;Data Entry;PeoplePerHour;Beginner;Europe;Mobile Banking;293;2172;4356;7136;474;38;Hourly;677;318
21;127;127;127;Clark;Christopher;27/06/2023;04/11/2024;SEO;Freelancer;Beginner;UK;Crypto;110;1636;9729;909;348;60;Fixed;3779;81
22;128;128;128;Rodriguez;Betty;01/03/2023;03/12/2024;Data Entry;Toptal;Expert;Australia;PayPal;294;4732;4916;9304;39;70;Hourly;2094;24
23;129;129;129;Lewis;Daniel;30/10/2023;27/02/2024;Customer Support;Toptal;Intermediate;UK;Bank Transfer;92;6849;9713;5035;497;32;Hourly;6166;185
24;130;130;130;Lee;Helen;16/05/2023;08/01/2024;Graphic Design;Upwork;Beginner;Canada;Crypto;196;8876;2368;7554;454;80;Fixed;3523;431
25;131;131;131;Walker;Paul;23/12/2023;03/02/2025;Graphic Design;PeoplePerHour;Expert;UK;Bank Transfer;157;7037;9094;7087;305;80;Hourly;5699;384
26;132;132;132;Hall;Sandra;25/01/2023;13/03/2024;Content Writing;PeoplePerHour;Intermediate;Australia;PayPal;141;8025;631;6111;313;27;Hourly;2895;7
27;133;133;133;Allen;Mark;03/10/2023;11/01/2025;App Development;Upwork;Expert;Canada;Mobile Banking;277;2932;568;5599;393;3;Hourly;1569;123
28;134;134;134;Young;Ashley;19/11/2023;03/06/2024;Digital Marketing;Toptal;Intermediate;Australia;Bank Transfer;153;5299;4519;6688;482;49;Fixed;7948;148
29;135;135;135;King;Donald;19/06/2023;31/01/2024;Web Development;Fiverr;Intermediate;Middle East;Mobile Banking;192;2861;5488;9715;408;85;Fixed;2093;97
30;136;136;136;Scott;Dorothy;25/06/2023;14/03/2024;Web Development;Fiverr;Intermediate;Australia;Mobile Banking;145;5577;5758;6616;40;30;Hourly;7919;215
31;137;137;137;Green;George;22/07/2023;16/03/2024;Data Entry;Toptal;Intermediate;Canada;Bank Transfer;135;1934;4196;7594;321;22;Fixed;7841;100
32;138;138;138;Adams;Deborah;19/02/2023;21/07/2024;Content Writing;PeoplePerHour;Expert;UK;Bank Transfer;8;9760;9983;8515;431;19;Fixed;6557;217
33;139;139;139;Baker;Edward;07/11/2023;09/04/2024;Data Entry;Fiverr;Expert;Middle East;Bank Transfer;267;8863;9777;6818;464;31;Fixed;5616;366
34;140;140;140;Nelson;Helen;05/04/2023;16/12/2024;Web Development;Freelancer;Expert;USA;Mobile Banking;30;5123;9637;9859;376;20;Hourly;5045;461
35;141;141;141;Carter;Steven;17/04/2023;24/12/2024;App Development;Freelancer;Expert;USA;Crypto;28;9779;9801;9812;455;19;Hourly;7063;412
36;142;142;142;Mitchell;Emily;27/11/2023;20/10/2024;Customer Support;Upwork;Expert;USA;PayPal;270;5466;8034;6259;493;2;Fixed;3026;413
37;143;143;143;Perez;Brian;30/12/2023;28/03/2024;App Development;Toptal;Intermediate;USA;Crypto;233;5850;9892;7486;341;40;Hourly;4274;258
38;144;144;144;Roberts;Melissa;22/10/2023;19/12/2024;App Development;Toptal;Beginner;Europe;Mobile Banking;273;6945;8977;6504;405;39;Fixed;5336;390
39;145;145;145;Evans;Jack;02/05/2023;30/01/2024;Graphic Design;Fiverr;Beginner;USA;Bank Transfer;129;6365;4451;6424;357;72;Fixed;3878;355
40;146;146;146;Gonzalez;Amy;24/09/2023;08/03/2024;Customer Support;PeoplePerHour;Expert;Canada;Bank Transfer;176;4980;7955;5184;459;54;Hourly;3992;10
41;147;147;147;Nelson;Kevin;20/05/2023;21/02/2025;Digital Marketing;Toptal;Expert;Asia;PayPal;238;2415;9165;8048;416;27;Fixed;3312;415
42;148;148;148;Carter;Debra;23/05/2023;02/02/2025;Customer Support;Fiverr;Beginner;USA;PayPal;299;904;727;7513;427;79;Fixed;495;58
43;149;149;149;Morris;Andrew;29/05/2023;03/05/2024;Content Writing;Fiverr;Intermediate;Australia;Crypto;279;2778;4516;5257;46;12;Fixed;6954;249
44;150;150;150;Wright;Stephanie;20/01/2023;19/10/2024;Graphic Design;Toptal;Expert;Asia;Crypto;80;965;1125;6393;379;78;Fixed;2411;139
45;151;151;151;Martinez;Joshua;26/04/2023;15/08/2024;Digital Marketing;Fiverr;Intermediate;USA;PayPal;218;7223;8192;9541;483;71;Hourly;7541;334
46;152;152;152;Hughes;Barbara;26/08/2023;22/03/2024;Content Writing;Upwork;Beginner;Asia;Mobile Banking;162;4988;9551;6198;407;17;Fixed;5824;37
47;153;153;153;King;Frank;30/11/2023;09/01/2025;Content Writing;Upwork;Beginner;UK;Crypto;208;181;3943;5724;332;84;Hourly;6763;121
48;154;154;154;Perez;Cynthia;25/09/2023;16/07/2024;Web Development;Toptal;Expert;Canada;Bank Transfer;153;9358;1943;7447;439;10;Fixed;4893;407
49;155;155;155;Young;Ryan;31/03/2023;11/08/2024;Graphic Design;PeoplePerHour;Intermediate;Canada;Bank Transfer;79;3643;3602;9928;459;19;Hourly;6457;64
50;156;156;156;Bennett;Rebecca;11/12/2023;23/05/2024;Content Writing;Upwork;Expert;Asia;Mobile Banking;233;9102;6035;621;363;82;Fixed;1113;145
51;157;157;157;Cole;Benjamin;13/07/2023;14/09/2024;SEO;Upwork;Beginner;Middle East;PayPal;66;343;3511;8361;471;30;Fixed;6729;301
52;158;158;158;Bailey;Shirley;08/08/2023;03/01/2024;App Development;Toptal;Intermediate;Europe;Crypto;62;9241;6301;8808;481;30;Hourly;1281;124
53;159;159;159;Fisher;Edward;17/12/2023;10/05/2024;Content Writing;Freelancer;Expert;Australia;Bank Transfer;278;3735;9685;6188;355;25;Hourly;7229;311
54;160;160;160;Simmons;Dorothy;09/04/2023;11/10/2024;Digital Marketing;Fiverr;Expert;Asia;PayPal;112;8066;6872;8641;497;88;Fixed;7944;190
55;161;161;161;Parker;Douglas;26/09/2023;08/08/2024;Web Development;Upwork;Expert;Canada;Crypto;191;7812;3945;6839;328;74;Fixed;3058;262
56;162;162;162;Robinson;Marie;18/09/2023;22/05/2024;Data Entry;Freelancer;Beginner;UK;Mobile Banking;233;6896;939;8162;34;66;Fixed;2472;489
57;163;163;163;Evans;Peter;12/04/2023;13/01/2024;App Development;PeoplePerHour;Expert;USA;Bank Transfer;52;7634;5874;8168;337;35;Fixed;6358;360
58;164;164;164;Gomez;Alice;24/04/2023;29/02/2024;Web Development;Freelancer;Intermediate;Canada;Mobile Banking;272;7360;172;7679;479;51;Fixed;2771;449
59;165;165;165;Hernandez;Arthur;14/08/2023;30/09/2024;Data Entry;Toptal;Expert;UK;Mobile Banking;219;5406;524;5451;431;71;Hourly;7059;295
